year,primary
1952,52.7
1953,48.4
1954,48
1955,50.4
1956,44.8
1957,46
1958,38.6
1959,32.4
1960,29.6
1961,35.7
1962,42.1
1963,46.7
1964,47.5
1965,43.3
1966,43.3
1967,44.5
1968,45.8
1969,42.3
1970,39.5
1971,38.7
1972,38.3
1973,37.9
1974,38.1
1975,36.7
1976,33.2
1977,26.3
1978,27.6
1979,34.8
1980,29.5
1981,31.3
1982,34.6
1983,34.4
1984,34.5
1985,30
1986,30.1
1987,26.8
1988,26.4
1989,24.5
1990,25.1
1991,21.5
1992,18.4
1993,16.4
1994,16.9
1995,16.8
1996,16.5
1997,15.5
1998,14.5
1999,13.5
2000,12.2
2001,11.6
2002,10.5
2003,9.3
2004,9.1
2005,7.9
2006,7.1
2007,7
2008,6.8
2009,6.5
2010,6.1
2011,6.3
2012,6.3
2013,5.8
2014,5.6
2015,5.7
